score_adjusted,bubble_rating,views,location_grade,amenity_count,time_to_booking,Actual_Segment,Predicted_Segment
3.44262295081967,3.5,0,95.0,18,18,Low-Price Hotels,Low-Price Hotels
4.29411764705882,4.5,0,87.0,9,19,Low-Price Hotels,Low-Price Hotels
4.54716981132075,4.5,0,100.0,32,4,High-Price Hotels,High-Price Hotels
4.85975609756098,5.0,0,89.0,17,6,High-Price Hotels,High-Price Hotels
4.77777777777778,5.0,0,98.0,15,11,High-Price Hotels,High-Price Hotels
4.81818181818182,5.0,0,100.0,9,28,Low-Price Hotels,Low-Price Hotels
4.9,5.0,0,93.0,22,21,Mid-Price Hotels,Mid-Price Hotels
3.0,3.0,0,82.0,6,20,Low-Price Hotels,Low-Price Hotels
2.5,2.5,0,89.0,0,15,Low-Price Hotels,Low-Price Hotels
1.0,1.0,0,100.0,0,21,Low-Price Hotels,Low-Price Hotels
4.08450704225352,4.0,0,100.0,20,22,Mid-Price Hotels,Mid-Price Hotels
4.0,4.0,0,100.0,18,9,High-Price Hotels,High-Price Hotels
3.35251798561151,3.5,0,100.0,16,19,Low-Price Hotels,Low-Price Hotels
4.69426751592357,4.5,0,100.0,26,22,Mid-Price Hotels,Mid-Price Hotels
3.92307692307692,4.0,0,48.0,14,27,Low-Price Hotels,Low-Price Hotels
4.85,5.0,0,100.0,3,21,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,100.0,0,24,Low-Price Hotels,Low-Price Hotels
3.75,4.0,0,100.0,0,5,High-Price Hotels,Mid-Price Hotels
2.76190476190476,3.0,0,97.0,16,24,Low-Price Hotels,Low-Price Hotels
4.75,5.0,0,100.0,19,17,Mid-Price Hotels,Mid-Price Hotels
4.64102564102564,4.5,0,100.0,13,19,Mid-Price Hotels,Mid-Price Hotels
2.33333333333333,2.5,0,86.0,14,1,Mid-Price Hotels,Mid-Price Hotels
3.5,3.5,0,100.0,0,12,Mid-Price Hotels,Mid-Price Hotels
4.41411042944785,4.5,3,100.0,21,16,Mid-Price Hotels,High-Price Hotels
4.21875,4.0,0,45.0,30,8,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,100.0,0,27,Low-Price Hotels,Low-Price Hotels
4.85714285714286,5.0,0,41.0,12,13,Low-Price Hotels,Low-Price Hotels
4.76315789473684,5.0,0,100.0,18,4,High-Price Hotels,High-Price Hotels
4.47761194029851,4.5,0,100.0,27,11,High-Price Hotels,High-Price Hotels
4.23364485981308,4.0,0,100.0,11,21,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,48.0,0,20,Low-Price Hotels,Low-Price Hotels
4.0,4.0,0,100.0,0,30,Low-Price Hotels,Low-Price Hotels
4.02651515151515,4.0,0,48.0,31,9,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,100.0,2,4,High-Price Hotels,High-Price Hotels
4.71264367816092,4.5,0,100.0,29,4,High-Price Hotels,High-Price Hotels
2.54166666666667,2.5,0,94.0,6,11,Low-Price Hotels,Low-Price Hotels
4.475,4.5,0,100.0,28,25,Mid-Price Hotels,Mid-Price Hotels
2.6359649122807,2.5,0,41.0,30,25,Low-Price Hotels,Low-Price Hotels
4.20945945945946,4.0,0,88.0,23,27,Low-Price Hotels,Mid-Price Hotels
3.36227824463119,3.5,0,100.0,37,23,Mid-Price Hotels,Low-Price Hotels
4.18181818181818,4.0,0,100.0,20,30,Low-Price Hotels,Low-Price Hotels
4.05847076461769,4.0,0,100.0,31,8,High-Price Hotels,High-Price Hotels
4.59480122324159,4.5,0,100.0,52,8,High-Price Hotels,High-Price Hotels
4.27358490566038,4.5,0,100.0,19,8,High-Price Hotels,High-Price Hotels
4.94387755102041,5.0,0,97.0,10,15,Mid-Price Hotels,Low-Price Hotels
2.48076923076923,2.5,0,100.0,35,23,Low-Price Hotels,Low-Price Hotels
4.5,4.5,0,100.0,0,25,Low-Price Hotels,Low-Price Hotels
4.77142857142857,5.0,0,100.0,10,17,Mid-Price Hotels,Mid-Price Hotels
2.6,2.5,0,100.0,10,12,Low-Price Hotels,Mid-Price Hotels
4.58798283261803,4.5,0,100.0,38,21,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,100.0,16,26,Mid-Price Hotels,Mid-Price Hotels
4.34029227557411,4.5,0,100.0,21,21,Mid-Price Hotels,Mid-Price Hotels
3.0,3.0,0,100.0,2,13,Low-Price Hotels,Low-Price Hotels
2.44444444444444,2.5,0,100.0,2,19,Low-Price Hotels,Low-Price Hotels
4.40909090909091,4.5,0,100.0,21,1,High-Price Hotels,High-Price Hotels
4.09677419354839,4.0,0,89.0,13,6,High-Price Hotels,Mid-Price Hotels
2.67137809187279,2.5,0,100.0,19,25,Low-Price Hotels,Low-Price Hotels
3.80320366132723,4.0,0,100.0,14,5,High-Price Hotels,High-Price Hotels
